Carimbo de data/hora,Gênero?,Qual a sua área  de atuação?,Há quantos anos trabalha com o desenvolvimento de Mobile APPs? ,Tem conhecimento sobre desenvolvimento Mobile com funcionalidades voltadas para a acessibilidade em APPs?,Onde você aprendeu sobre acessibilidade?,O quanto você acha que implementa conceitos de acessibilidade nos seus projetos?,"Dos OS listados, marque todos que você considera de fácil implementação de funcionalidades relacionadas a acessibilidade.",Qual a maior dificuldade ao implementar funcionalidades com features de acessibilidade?,Atualmente você trabalha com desenvolvimento Mobile em alguma empresa?,Na empresa em que trabalha são aplicados funcionalidades visando a acessibilidade em APPs?,Qual o tamanho da empresa que você trabalha?
26/01/2021 13:03:40,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Pesquisando,0,Não sei opinar,Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 14:00:33,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,1,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 14:21:13,Masculino,UI/UX,Menos de 1 ano,"Sim, já ouvi falar.",Curso online,2,Não sei opinar,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 14:51:50,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,2,"Android, IOS",Conhecimento técnico,Não,,
26/01/2021 14:55:47,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,4,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Não,Pequena
26/01/2021 15:18:35,Masculino,UI/UX,Menos de 1 ano,"Sim, já ouvi falar.",Faculdade,3,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 15:25:21,Masculino,Analista de requisito,Entre 3 e 5 anos,"Sim, já ouvi falar.",Na prática no trabalho,2,Não sei opinar,Tempo de desenvolvimento,Sim,Sim,Pequena
26/01/2021 15:27:33,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Não, nunca ouvi falar.",,,,,,,
26/01/2021 16:04:08,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Curso online,3,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Não,Média
26/01/2021 16:14:13,Feminino,UI/UX,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Faculdade,4,Não sei opinar,Falta de obrigação nos requisitos do projeto,Não,,
26/01/2021 16:28:41,Masculino,Desenvolvedor Mobile,Entre 1 e 3 anos,"Sim, já ouvi falar.",Faculdade,2,Não sei opinar,Conhecimento técnico,Não,,
26/01/2021 16:58:46,Masculino,Desenvolvedor Mobile,Entre 3 e 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,4,"Android, IOS",Falta de obrigação nos requisitos do projeto,Sim,Sim,Grande
26/01/2021 17:05:13,Masculino,Desenvolvedor Mobile,Mais de 5 anos,"Sim, eu conheço ou já utilizo.",Na prática no trabalho,5,Android,Falta de obrigação nos requisitos do projeto,Sim,Não,Grande
26/01/2021 20:14:36,Feminino,Desenvolvedor Mobile,Menos de 1 ano,"Sim, já ouvi falar.",Pesquisando,3,"Android, IOS",Conhecimento técnico,Sim,Sim,Pequena
